Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 18 (2)	P05-P1	main_driving	2	main_driving	36436	205321	17952	260	69	70	3.32296	54	119.5	30.59	336.05	81.5	3.68	0.64	13.71	198.72	3376	301.9	31.9	31.9	1.06
Recording 385	P44-J1	main_driving	1	main_driving	401	147622	0		0			1	94.98	94.98	94.98		3.05	3.05	3.05	3.05	280	224.02	94.98	60.81	3.05
Recording 385	P44-J1	main_driving	2	main_driving	571	167248	0		0			0													
Recording 385	P44-J1	main_driving	3	main_driving	14847	176445	6522	384	17	70	4.54922	16	113.99	30.07	215.05	49.19	3.05	1.1	6.72	48.8	2645	263.51	41.55	37.55	2.51
Recording 260	P22-M1	main_driving	1	main_driving	1052	237699	281	94	3	60	4.00205	0													
Recording 260	P22-M1	main_driving	2	main_driving	16330	264848	9818	179	55	60	4.14873	38	86.19	30.5	345.7	72.59	2.24	0.69	8.68	85.06	401	259.51	99.47	63.96	6.08
Recording 238	P38-M1	main_driving	1	main_driving	1282	226886	70	70	1	70	3.41817	1	41	41	41		1.72	1.72	1.72	1.72	1192	285.62	41	41	1.72
Recording 238	P38-M1	main_driving	2	main_driving	30014	237485	8075	288	28	220	3.36673	12	118.85	35.34	284.01	79.79	3.39	1.43	5.77	40.63	4668	273.49	58.92	41.69	3.96
Recording 228	P37-W1	main_driving	1	main_driving	3426	203705	190	190	1	190	4.28492	0													
Recording 228	P37-W1	main_driving	2	main_driving	821	215356	230	230	1	230	4.42543	0													
Recording 228	P37-W1	main_driving	3	main_driving	12863	222700	4819	301	16	150	4.70123	9	111.25	31.24	245.4	79.98	3.9	1.17	7.07	35.14	4608	272.53	31.24	31.24	1.17
Recording 106	P14-J1	main_driving	1	main_driving	271	148557	0		0			0													
Recording 106	P14-J1	main_driving	2	main_driving	130	157674	0		0			0													
Recording 106	P14-J1	main_driving	3	main_driving	31487	166910	8245	458	18	551	4.98664	13	111.46	30.04	235.58	57.87	4.29	1.54	6.85	55.74	17872	100.46	70.79	61.73	1.54
Recording 373	P35-P1	main_driving	1	main_driving	15157	210984	7183	266	27	70	3.96519	12	88.54	31.89	281.97	74.1	2.63	0.88	7.81	31.55	1372	277.7	31.89	31.89	1.08
Recording 345	P29-J1	main_driving	1	main_driving	631	144508	170	85	2	100	4.19918	1	32.69	32.69	32.69		0.71	0.71	0.71	0.71	471	210.81	32.69	32.69	0.71
Recording 345	P29-J1	main_driving	2	main_driving	361	156079	140	140	1	140	4.5034	0													
Recording 345	P29-J1	main_driving	3	main_driving	651	165927	140	70	2	60	4.07898	1	77.34	77.34	77.34		2.36	2.36	2.36	2.36	431	249.1	77.34	60.84	2.36
Recording 345	P29-J1	main_driving	4	main_driving	14787	174913	4889	489	10	872	3.84809	9	63.25	30.11	177.6	46.12	2.21	1.17	3.52	19.91	2525	290.44	63.87	56	2.62
Recording 40	P04-D1	main_driving	1	main_driving	57264	206253	31266	613	51	1483	3.43338	43	100.83	32.23	363.05	83.03	2.94	0.76	14.72	126.3	4658	177.44	88.22	61.48	2.34
Recording 271	P24-D2	main_driving	1	main_driving	54078	211099	25656	428	60	190	4.49422	37	73.82	30.39	276.54	67.91	2.24	0.6	10.44	82.95	1002	116.6	35.98	35.98	0.87
Recording 148	P12-P1	main_driving	1	main_driving	381	174014	0		0			0													
Recording 148	P12-P1	main_driving	2	main_driving	441	195312	0		0			0													
Recording 148	P12-P1	main_driving	3	main_driving	15779	203577	9167	573	16	60	4.7387	17	85.13	30.31	232.85	51.76	2.39	1.01	5.24	40.7	421	259.66	60.98	60.11	1.97
Recording 313	P41-W1	main_driving	1	main_driving	18353	231494	4057	116	35	100	4.57523	11	73.38	32.86	176.04	46.68	2.21	0.47	7.11	24.33	4568	309.41	129.77	89.64	2.91
Recording 8	P02-W1	main_driving	1	main_driving	1082	215230	0		0			0													
Recording 8	P02-W1	main_driving	2	main_driving	14005	225719	9567	563	17	60	3.81084	11	78.86	36.33	162.68	48.11	3.32	1.81	6.72	36.5	511	283.78	42.05	41.13	2.84
Recording 386	P44-W1	main_driving	1	main_driving	4228	195002	1332	266	5	220	3.78241	4	175.37	49.28	263.88	90.9	6.13	1.45	10.44	24.52	641	128.1	49.28	48.35	1.45
Recording 386	P44-W1	main_driving	2	main_driving	27951	213125	8295	361	23	200	4.45308	17	118.92	49.45	286.06	69.23	3.64	0.85	14.81	61.86	4588	197.22	286.06	174.73	14.81
Recording 259	P22-W1	main_driving	1	main_driving	220	211644	0		0			0													
Recording 259	P22-W1	main_driving	2	main_driving	20397	222885	11741	261	45	60	4.25467	27	96.45	30.36	281.24	77.36	2.94	0.37	9.12	79.45	3657	249.27	38.16	37.92	2.88
Recording 322	P32-J1	main_driving	1	main_driving	20918	179566	7233	226	32	160	4.34597	17	157.38	32.31	368.84	115.87	6.29	1.27	15.17	106.94	4418	177.61	103.27	71.61	3.99
Recording 114	P15-D2	main_driving	1	main_driving	65238	208696	38680	372	104	1062	4.76617	65	103.2	31.57	465.58	84.15	2.85	0.38	15.9	185.25	3046	191.7	68.49	51.29	1.96
Recording 87	P11-D1	main_driving	1	main_driving	18413	256906	10729	565	19	80	3.23407	9	116.07	47.15	217.21	59.92	4.2	0.66	7.2	37.82	2745	271.42	47.15	46.47	0.66
Recording 248	P16-J1	main_driving	1	main_driving	15338	177450	4929	176	28	90	4.75153	18	90.01	33.67	246.74	61.9	2.71	0.74	7.24	48.75	2324	233.41	62.98	45.67	1.16
Recording 334	P43-D1	main_driving	1	main_driving	50652	208415	24414	660	37	80	4.14499	23	143.85	30.77	374.88	120.16	4.46	1.08	13.73	102.57	4368	0.71	33.69	33.69	1.2
Recording 280	P42-J1	main_driving	1	main_driving	361	162381	0		0			0													
Recording 280	P42-J1	main_driving	2	main_driving	15328	180924	2114	151	14	200	5.66163	2	142.95	34	251.9	154.08	1	0.81	1.19	2	2494	277.48	34	34	0.81
Recording 103	P14-M1	main_driving	1	main_driving	52355	227230	14947	427	35	150	4.69347	28	130.57	35.95	276	76.13	3.79	0.6	9.51	106.01	521	204.27	207.94	146.3	4.11
Recording 251	P16-D1	main_driving	1	main_driving	82309	206211	53828	456	118	271	4.08858	97	135.66	30.96	368.53	82.39	4.43	0.5	12.93	430.09	2354	249.82	129.41	84.1	3.64
Recording 71	P09-D1	main_driving	1	main_driving	58967	211961	38069	363	105	1072	3.79674	76	129.41	31.49	305.27	76.47	4.66	0.61	15.08	354.4	3156	163.29	62.43	51.85	1.43
Recording 177	P19-D2	main_driving	1	main_driving	55911	206486	20196	374	54	70	3.10713	38	116.54	32.09	342.28	78.85	3.78	0.66	13.57	143.73	11010	130.54	34.87	33.53	0.96
Recording 325	P32-D1	main_driving	1	main_driving	50341	212949	25787	645	40	441	3.33553	38	107.49	31.27	245.33	63.46	3.21	0.55	9.91	121.92	491	24.18	39.83	36.96	1.45
Recording 166	P18-M1	main_driving	1	main_driving	1042	225810	0		0			0													
Recording 166	P18-M1	main_driving	2	main_driving	30185	241949	9227	288	32	150	4.45642	17	85.43	30.06	233.41	60.51	2.75	1.04	8.86	46.72	7183	233.29	54.53	46.42	2.13
Recording 128	P17-P1	main_driving	1	main_driving	3997	178294	0		0			0													
Recording 128	P17-P1	main_driving	2	main_driving	541	191649	0		0			0													
Recording 128	P17-P1	main_driving	3	main_driving	21930	199032	3887	125	31	130	3.95418	13	66.1	30.58	298.1	71.35	1.61	0.89	3.49	20.95	6983	1.62	38.62	38.62	1.68
Recording 95	P13-D1	main_driving	1	main_driving	59858	211471	33360	417	80	1984	3.89664	50	104.47	30.61	383.36	77.72	3.29	0.59	12.65	164.42	1923	45.14	45.49	41.15	2.09
Recording 179	P19-J1	main_driving	1	main_driving	942	165396	150	150	1	150	2.87982	1	46.1	46.1	46.1		1.41	1.41	1.41	1.41	791	271.47	46.1	46.1	1.41
Recording 179	P19-J1	main_driving	2	main_driving	32779	180443	15318	222	69	60	3.42365	45	77.22	30.54	250.18	50.09	2.18	0.53	7.66	98.04	5901	39.3	43.76	35.41	1.31
Recording 404	P33-D1	main_driving	1	main_driving	64957	208057	29073	393	74	371	4.66613	58	131.63	31.95	354.97	80.73	5	0.99	21.36	289.92	992	10.12	86.89	62.42	2.48
Recording 124	P17-J1	main_driving	1	main_driving	821	161154	90	90	1	90	5.12327	0													
Recording 124	P17-J1	main_driving	2	main_driving	16500	175911	2164	108	20	401	4.64387	6	88.87	49.49	192.13	52.74	2.85	1.13	5.34	17.08	2464	234.71	66.62	55.95	4.35
Recording 73	P09-J1	main_driving	1	main_driving	7203	180522	4979	415	12	110	5.49641	6	68.92	30.58	171.36	53.41	1.67	0.6	2.88	10.04	3576	261.15	171.36	111.28	2.48
Recording 147	P12-D1	main_driving	1	main_driving	56903	209701	20768	561	37	210	4.06514	38	130.55	31.64	333.52	84.16	3.74	0.78	12.77	142.08	110	207.95	78.03	72.54	2.08
Recording 324	P32-M1	main_driving	1	main_driving	14065	280749	8546	427	20	100	3.92639	17	98.73	33.79	244.42	59.05	2.99	1.61	8.13	50.78	1372	176.51	80.62	74.89	1.61
Recording 8 (2)	P08-M1	main_driving	1	main_driving	721	224969	0		0			0													
Recording 8 (2)	P08-M1	main_driving	2	main_driving	671	242771	0		0			0													
Recording 8 (2)	P08-M1	main_driving	3	main_driving	471	251867	190	190	1	190	4.85259	0													
Recording 8 (2)	P08-M1	main_driving	4	main_driving	15748	257428	7965	531	15	741	4.58296	16	109.69	37.49	282.54	72.08	3.43	0.96	8.83	54.93	1653	236.48	39.49	35.83	3.13
Recording 323	P32-W1	main_driving	1	main_driving	21399	225204	12914	349	37	531	3.74487	24	122.14	32.69	302.29	76.77	3.92	1.15	11.62	94.14	5280	194.95	100.37	75.08	2.34
Recording 17 (2)	P05-D1	main_driving	1	main_driving	58987	221602	28642	636	45	3036	2.83615	37	133.08	31.27	318.54	90.25	4.3	0.73	11.05	159.1	751	44.07	72.39	50.11	6.16
Recording 294	P40-M1	main_driving	1	main_driving	9898	258265	240	120	2	60	3.33786	4	117.68	30.8	207.87	75.29	4.23	3.11	6.01	16.94	431	235.38	30.8	30.8	3.11
Recording031	P39-W1	main_driving	1	main_driving	15071	229830	9694	539	18	100	3.87208	7	61.01	39.68	100.05	19.79	2.97	1.23	5.62	20.79	400	242.58	57.42	44.01	4.26
Recording 107	P14-W1	main_driving	1	main_driving	45893	196141	8435	402	21	250	4.68907	13	106.03	30.96	225.04	65.55	3.13	0.85	7.88	40.66	14606	87.48	71.57	55.97	3.73
Recording 302	P31-J1	main_driving	1	main_driving	18774	177177	7834	270	29	110	4.17609	20	94.4	30.24	265.97	71.47	3.3	0.97	14.09	66.02	3396	277.99	43.4	43.4	2.34
Recording 200	P26-M1	main_driving	1	main_driving	7934	266162	4849	606	8	90	4.12179	5	82.62	30.81	128.3	42.23	2.2	0.92	3.92	11.01	431	255.11	30.81	30.81	2.32
Recording 9	P08-D1	main_driving	1	main_driving	54859	218953	35755	511	70	6913	4.2986	53	117.24	30.81	345.99	79.23	3.83	0.51	12.89	203.07	5310	214.94	141.56	103.35	1.54
Recording 227	P37-J1	main_driving	1	main_driving	260	159052	80	80	1	80	4.62748	0													
Recording 227	P37-J1	main_driving	2	main_driving	12553	186382	5780	289	20	190	4.73836	12	123.2	30.31	336.38	87.55	3.48	0.67	7.56	41.78	3717	308.72	30.31	30.31	1.15
Recording 10 (3)	P50-M1	main_driving	1	main_driving	13394	257294	7824	489	16	80	4.35309	15	88.31	32.35	173.79	31.96	2.81	1.05	5.56	42.16	3496	253.59	32.35	32.35	4.3
Recording 283	P42-D1	main_driving	1	main_driving	60189	209416	29533	484	61	5871	4.79918	40	175.37	35.32	417.71	85.87	5.33	1.39	15.24	213.08	511	199.41	52.09	46.86	1.39
Recording 7 (3)	P50-P1	main_driving	1	main_driving	431	200248	0		0			0													
Recording 7 (3)	P50-P1	main_driving	2	main_driving	21138	211538	7954	442	18	60	4.60778	17	115.05	34.65	357.41	89.32	3.59	0.77	12.18	61.04	301	273.77	36.21	34.98	2.44
Recording 201	P26-D1	main_driving	1	main_driving	56953	209336	21869	911	24	1212	3.4216	24	116.17	30.52	379.7	94.46	3.28	0.27	14.61	78.75	1893	348.78	379.7	176.88	0.27
Recording 375	P35-W1	main_driving	1	main_driving	14226	223528	9457	270	35	240	3.96049	20	58.75	30.04	172.21	38.35	1.75	0.58	6.3	35.01	411	287.5	66.57	43.91	3.2
Recording 33	P07-P1	main_driving	1	main_driving	14937	202844	6812	619	11	331	3.98716	3	94.41	32.76	175.83	73.56	2.68	0.98	4.99	8.03	1913	147.18	32.76	32.76	0.98
Recording 301	P31-P1	main_driving	1	main_driving	23172	203407	11330	324	35	100	4.02703	29	122.82	32.87	324.15	65	4.1	0.8	15.73	119.03	6742	196.54	84.82	59.22	2.68
Recording 231	P37-P1	main_driving	1	main_driving	574	169179	210	210	1	210	4.24826	0													
Recording 231	P37-P1	main_driving	2	main_driving	10842	182243	2354	214	11	180	4.6768	2	82.53	75.66	89.4	9.72	1.49	1.46	1.52	2.98	9544	300.63	75.66	75.66	1.52
Recording 303	P31-W1	main_driving	1	main_driving	18834	225852	10930	288	38	100	4.14373	25	113.24	30.01	327.34	86.91	4.15	0.89	11.9	103.67	270	282.73	30.45	30.38	1.38
Recording 218	P23-M1	main_driving	1	main_driving	441	227562	0		0			0													
Recording 218	P23-M1	main_driving	2	main_driving	11741	258548	4508	225	20	60	6.23352	14	90.32	30.54	182.09	53.75	2.7	1.04	4.82	37.78	3426	276.72	81.31	68.64	3.45
Recording 258	P22-J1	main_driving	1	main_driving	561	151412	341	114	3	70	4.40318	2	89.94	41.31	138.56	68.77	1.67	1.21	2.13	3.34	210	290.57	41.31	36.27	1.21
Recording 258	P22-J1	main_driving	2	main_driving	18423	178611	13645	227	60	80	4.27697	32	78.96	33.45	185.76	46.53	2.23	0.58	7.35	71.51	381	231.76	35.11	35.11	1.9
Recording 145	P12-W1	main_driving	1	main_driving	1162	214751	431	431	1	431	4.24791	1	34.57	34.57	34.57		1.67	1.67	1.67	1.67	561	234.44	34.57	32.9	1.67
Recording 145	P12-W1	main_driving	2	main_driving	14236	231421	7664	639	12	70	4.79328	7	85.94	36.09	143.88	36.68	2.07	0.66	3.79	14.49	7694	168.13	143.88	97.82	2.05
Recording040	P34-J1	main_driving	1	main_driving	12033	175104	4357	272	16	140	6.27084	11	89.19	32.31	252.73	73.71	4.57	1.08	10.08	50.29	6336	263.35	74.51	54.38	5.27
Recording 188	P25-J1	main_driving	1	main_driving	14306	177404	4949	183	27	100	3.70155	9	96.2	31.99	312.08	94.41	2.56	0.28	9.55	23.06	5700	308.16	43.46	37.06	1.29
Recording 199	P26-W1	main_driving	1	main_driving	1242	211584	631	631	1	631	3.81474	0													
Recording 199	P26-W1	main_driving	2	main_driving	6482	229346	1423	711	2	1212	4.37785	2	68.18	41.52	94.83	37.7	1.36	0.85	1.86	2.72	2805	294.53	41.52	41.06	0.85
Recording 187	P25-P1	main_driving	1	main_driving	12262	176077	60	60	1	60	3.38397	0													
Recording 187	P25-P1	main_driving	2	main_driving	1583	194570	0		0			0													
Recording 187	P25-P1	main_driving	3	main_driving	30245	206892	9317	245	38	150	3.84037	22	89.93	30.74	285.68	69.51	2.49	0.57	9.34	54.8	6662	215.54	33.31	33.31	0.63
Recording 30	P07-W1	main_driving	1	main_driving	13094	224261	4879	271	18	571	3.90438	10	53.96	36.99	92.44	20.7	1.74	0.59	2.75	17.41	1082	85.66	46.9	42.19	2.67
Recording 85	P11-W1	main_driving	1	main_driving	14416	232848	8616	227	38	270	3.76081	21	62.23	32.21	266.91	50.21	1.51	0.55	5.93	31.78	1433	264.93	33.09	33.09	1.32
Recording017	P28-W1	main_driving	1	main_driving	3818	215882	700	233	3	400	3.8207	1	62.28	62.28	62.28		6.92	6.92	6.92	6.92	3418	244.31	62.28	45.93	6.92
Recording017	P28-W1	main_driving	2	main_driving	28283	228454	15051	358	42	120	3.69837	30	137.03	30.37	363.52	86.68	6.84	1.89	23.59	205.33	220	261.01	30.37	30.37	2.84
Recording 197	P26-P1	main_driving	1	main_driving	25206	219996	13214	508	26	731	4.15068	19	107.34	34.95	250.72	65.93	3.13	0.68	8.48	59.46	2805	225.05	92.63	63.8	4.06
Recording 304	P31-M1	main_driving	1	main_driving	17862	254951	10148	597	17	2955	3.84051	16	129.76	43.2	292.65	70.14	4.64	1.03	13.89	74.24	2775	253.35	43.2	36.77	5.58
Recording 416	P47-P1	main_driving	1	main_driving	18413	223726	10920	475	23	581	3.10553	19	142.51	39.93	403.39	106	4.22	0.77	14.79	80.24	1202	292.85	61.48	52.73	0.77
Recording 127	P17-D1	main_driving	1	main_driving	60170	211622	12042	110	109	100	3.49769	25	65.1	30.92	155.03	34.53	1.1	0.12	2.34	27.45	4499	15.59	63.49	63.49	1.37
Recording 178	P19-P1	main_driving	1	main_driving	4648	183648	270	90	3	120	2.81852	1	72.35	72.35	72.35		2.96	2.96	2.96	2.96	4328	349.67	72.35	51.41	2.96
Recording 178	P19-P1	main_driving	2	main_driving	38890	207832	11110	188	59	60	3.51742	31	112.69	30.03	385.71	85.87	3.49	0.32	11.07	108.21	571	274.71	57.51	47.42	1.74
Recording 115	P15-P1	main_driving	1	main_driving	4208	189541	671	671	1	671	4.71425	0													
Recording 115	P15-P1	main_driving	2	main_driving	2785	203346	2424	404	6	60	4.75877	4	53.51	34.13	91.43	26.42	1.68	1.15	1.9	6.72	130	283.02	36.88	36.88	1.9
Recording 115	P15-P1	main_driving	3	main_driving	34332	219025	15088	186	81	301	5.68231	40	71.73	30.83	203.4	46.33	1.88	0.5	7.15	75.35	641	77.78	36.55	34.27	0.59
Recording 94	P13-M1	main_driving	1	main_driving	2444	230658	912	152	6	70	4.59392	2	99.97	76.39	123.54	33.34	2.41	1.56	3.26	4.82	431	282.15	123.54	71.8	3.26
Recording 94	P13-M1	main_driving	2	main_driving	511	241558	240	120	2	80	4.47209	0													
Recording 94	P13-M1	main_driving	3	main_driving	40	248090	0		0			0													
Recording 94	P13-M1	main_driving	4	main_driving	761	259020	601	200	3	80	4.44476	2	51.1	44.1	58.11	9.91	1.58	1.42	1.74	3.16	170	103.16	58.11	43.46	1.74
Recording 94	P13-M1	main_driving	5	main_driving	20056	264800	9016	392	23	80	4.81055	16	89.51	33	164.36	43.18	3.21	1.26	4.99	51.28	170	102.36	121.3	89.58	4.09
Recording 72	P09-P1	main_driving	1	main_driving	391	196127	120	120	1	120	4.92809	0													
Recording 72	P09-P1	main_driving	2	main_driving	10689	218528	3667	262	14	140	4.97684	9	116.5	34.25	173.32	55.42	3.69	1.39	6.72	33.23	4268	216.01	168.49	101.69	3.12
Recording 374	P35-J1	main_driving	1	main_driving	12122	176923	7253	330	22	70	4.01784	15	52.9	30.31	101.8	26.31	1.39	0.87	2.29	20.82	1954	317.11	32.18	32.18	1.13
Recording 61	P06-J2	main_driving	1	main_driving	521	147940	281	140	2	120	4.22812	1	134.26	134.26	134.26		3.38	3.38	3.38	3.38	270	204.31	134.26	98.79	3.38
Recording 61	P06-J2	main_driving	2	main_driving	3236	157236	1112	185	6	90	3.91916	2	107.39	55.55	159.24	73.32	2.17	1.69	2.64	4.34	200	115.65	159.24	103.47	2.64
Recording 61	P06-J2	main_driving	3	main_driving	27269	168286	10038	251	40	60	3.89528	21	106.23	31.29	287.45	76.89	2.58	0.53	5.85	54.23	9297	99.87	37.51	37.35	0.75
Recording 165	P18-W1	main_driving	1	main_driving	491	204004	0		0			0													
Recording 165	P18-W1	main_driving	2	main_driving	681	214513	0		0			1	103.92	103.92	103.92		3.37	3.37	3.37	3.37	421	160.3	103.92	77.29	3.37
Recording 165	P18-W1	main_driving	3	main_driving	19315	227256	7974	235	34	60	4.32245	18	117.55	33.98	344.14	88.66	2.89	0.81	8.52	51.96	7003	328.9	38.63	38.63	1.27
