id,seq,task,cognitive,interrupt,mental,physical,temp,perf,effort,frus,overall
2,6,J,10,6,8,2,6,6,6,2,6.133333333
3,5,J,16,2,13,1,5,14,12,1,10.6
4,4,J,16,7,14,1,13,12,13,11,12.93333333
5,3,J,20,7,12,0,14,15,12,0,12.53333333
6,2,J,14,9,12,3,11,8,7,12,10.2
7,1,J,14,10,16,2,10,17,18,2,14.66666667
8,5,J,10,2,10,2,2,15,5,2,5.066666667
9,4,J,14,6,16,5,13,14,13,5,13.73333333
10,3,J,16,17,12,1,16,8,13,7,12.4
11,2,J,11,4,9,5,10,10,8,7,9.2
12,1,J,12,2,6,2,10,11,9,4,8.666666667
13,5,J,13,3,13,4,5,4,14,1,9.2
14,4,J,15,19,10,8,13,15,14,14,13.26666667
15,3,J,15,8,8,4,12,2,3,8,5.8
16,2,J,12,0,8,0,10,6,7,0,5.533333333
17,1,J,18,4,15,6,17,10,17,2,12.93333333
18,5,J,9,1,8,1,3,12,10,1,7.4
19,4,J,14,10,9,13,9,14,10,4,11.13333333
20,3,J,18,10,9,2,14,2,9,7,7.066666667
21,2,J,12,10,14,8,10,10,12,12,11.2
22,1,J,14,4,10,10,10,8,9,6,9.066666667
23,5,J,13,1,9,1,8,6,16,8,9.333333333
24,4,J,12,8,11,0,14,15,10,1,12
25,3,J,15,12,17,7,11,12,15,8,13.53333333
26,3,J,15,13,15,0,16,10,14,3,13.53333333
27,1,J,7,2,4,0,4,10,8,1,6.266666667
28,5,J,14,4,8,1,5,6,10,5,6.6
29,4,J,15,16,16,2,18,10,17,14,14.4
31,2,J,18,2,13,5,7,3,16,1,8.933333333
32,1,J,14,2,6,2,15,8,15,5,8.933333333
33,5,J,16,17,14,7,15,17,10,9,13
34,4,J,20,20,18,5,12,10,15,15,12.06666667
35,4,J,6,2,2,0,5,6,10,2,5.533333333
37,1,J,12,9,9,2,17,6,12,16,12.13333333
38,5,J,14,4,10,2,1,7,6,0,6.466666667
39,4,J,14,12,12,0,14,8,12,12,11.86666667
40,3,J,13,2,9,2,10,18,19,20,16
41,2,J,11,7,8,0,13,11,12,3,10.53333333
42,1,J,12,6,6,0,10,12,14,2,8.266666667
43,5,J,16,5,5,2,2,5,14,0,6.8
44,4,J,19,15,20,13,18,9,20,5,15.33333333
45,3,J,9,7,6,0,9,8,5,4,7.133333333
46,2,J,19,2,10,0,12,10,10,6,10
47,1,J,18,16,16,0,6,12,16,11,11.86666667
48,5,J,20,20,20,10,10,15,15,20,17
50,3,J,16,12,17,0,18,20,17,20,18.33333333
2,3,M,10,12,12,10,9,8,14,4,10.6
3,2,M,17,12,16,1,2,12,16,1,11.4
4,1,M,18,6,14,1,14,10,15,10,12.53333333
5,5,M,20,17,19,0,19,12,15,0,13.46666667
6,4,M,11,9,12,3,11,13,5,3,8.533333333
7,3,M,16,2,16,1,10,12,15,1,12.33333333
8,2,M,20,12,20,4,1,10,20,5,13.46666667
9,1,M,14,16,15,6,18,12,16,9,15.06666667
10,5,M,12,10,16,1,12,16,18,15,15.53333333
11,4,M,10,6,10,8,9,16,9,18,11.66666667
12,3,M,6,3,4,1,6,9,12,1,7.333333333
13,2,M,16,14,16,7,12,6,13,6,12.46666667
14,1,M,16,12,17,4,12,8,14,5,12.8
15,5,M,17,14,16,14,13,5,4,7,11.93333333
16,4,M,14,0,10,0,10,12,10,0,7.866666667
17,3,M,19,6,19,5,17,2,17,0,11.6
18,2,M,15,3,15,1,7,7,15,1,9.8
19,1,M,12,11,12,15,8,5,18,6,11.46666667
20,5,M,8,5,14,1,11,10,14,14,9.266666667
21,4,M,10,16,12,18,10,4,12,4,13.06666667
22,3,M,16,4,16,14,16,16,5,10,15.06666667
23,2,M,18,5,3,4,3,6,18,3,7.933333333
24,1,M,16,7,14,0,14,8,8,0,11.06666667
25,5,M,17,8,17,4,11,6,17,5,11.46666667
26,4,M,15,5,12,9,16,9,11,3,12.13333333
27,3,M,13,10,6,0,5,2,8,2,4.666666667
28,2,M,8,10,14,3,6,9,14,5,9.6
29,1,M,17,2,14,2,14,6,17,2,12.66666667
31,4,M,10,18,17,0,8,8,18,11,14.33333333
32,3,M,17,12,6,19,4,0,14,2,3.733333333
33,2,M,15,14,14,12,12,5,11,5,11.46666667
34,1,M,12,8,5,15,10,10,20,15,13
35,5,M,8,4,7,0,2,2,5,1,3.2
37,3,M,10,6,12,5,13,5,11,4,8.333333333
38,2,M,14,4,8,2,2,8,8,1,6.4
39,1,M,14,8,10,0,4,10,6,2,6.8
40,5,M,16,3,16,4,9,5,17,2,11.33333333
41,4,M,16,4,10,3,14,3,14,0,8.333333333
42,3,M,16,16,18,0,13,15,15,6,14.66666667
43,2,M,14,3,13,2,4,6,14,0,8.533333333
44,1,M,15,3,15,4,13,9,20,3,12.53333333
45,5,M,13,15,9,0,8,12,11,5,10.13333333
46,4,M,20,12,16,0,16,1,15,4,11.13333333
47,3,M,16,18,16,0,9,15,16,12,14.06666667
48,2,M,20,10,15,10,10,14,19,15,15.53333333
50,5,M,18,4,9,0,20,6,11,14,12.8
2,5,P,8,6,8,4,8,6,8,4,7.333333333
3,4,P,16,4,12,1,7,11,15,1,10.66666667
4,3,P,19,2,6,1,11,6,8,6,7.933333333
5,2,P,17,3,15,0,3,8,14,0,9.866666667
6,1,P,12,14,13,11,13,8,11,9,11.26666667
7,5,P,16,5,16,2,10,14,16,2,13.2
8,4,P,10,2,6,6,10,15,15,2,10.46666667
9,3,P,11,6,15,5,14,12,16,13,14.66666667
10,2,P,14,15,11,1,11,8,13,7,10
11,1,P,8,8,8,4,10,11,6,8,8.733333333
12,5,P,8,4,9,1,10,7,10,2,8.733333333
13,4,P,16,3,12,4,6,2,11,1,7.066666667
14,3,P,14,20,14,7,9,9,14,14,13
15,2,P,18,4,6,2,16,3,2,3,6.866666667
16,1,P,12,0,10,0,4,10,7,2,7.333333333
17,5,P,18,8,17,6,17,8,17,0,13.26666667
18,4,P,10,5,11,1,5,6,8,1,7.4
19,3,P,12,8,7,12,5,17,9,2,11.33333333
20,2,P,13,2,11,2,5,9,8,4,6.533333333
21,1,P,12,14,14,10,6,6,14,6,10.8
22,5,P,17,10,6,11,9,15,5,11,9.733333333
23,4,P,13,7,14,1,16,12,19,13,15.26666667
24,3,P,9,4,8,0,6,12,9,0,7.733333333
25,2,P,12,11,15,3,9,11,10,7,11
26,1,P,14,4,12,5,15,6,14,2,11.86666667
27,5,P,6,14,4,0,7,6,6,1,5.533333333
28,4,P,12,5,8,1,2,5,8,3,5.666666667
29,3,P,15,1,3,2,12,2,3,3,4.6
31,1,P,16,14,12,1,8,8,14,4,9.266666667
32,5,P,18,4,10,7,7,4,12,10,7.333333333
33,4,P,14,16,14,7,9,6,10,5,10.4
34,3,P,15,10,15,5,10,5,15,5,6.666666667
35,2,P,14,4,2,0,4,12,4,8,5.2
37,5,P,14,8,15,2,17,9,16,8,13.6
38,4,P,13,2,6,1,0,6,6,0,4.933333333
39,3,P,12,12,12,0,13,8,13,10,11.8
40,2,P,16,2,8,0,7,1,16,1,5.933333333
41,1,P,14,5,10,1,6,4,16,1,8.866666667
42,5,P,17,11,12,0,8,12,15,3,11
43,4,P,15,2,5,1,2,4,10,0,5.733333333
44,3,P,17,14,18,10,16,3,20,2,12.2
45,2,P,14,5,7,0,8,12,6,5,7.866666667
46,1,P,20,0,6,0,10,6,10,6,7.866666667
47,5,P,6,2,6,0,3,15,3,0,7.4
48,4,P,20,16,12,5,5,15,15,17,13.26666667
50,1,P,18,3,11,0,17,8,11,14,12.4
2,2,W,10,2,8,4,4,1,8,4,6.2
3,1,W,16,2,16,1,5,8,16,1,11.2
4,5,W,18,6,9,1,12,7,10,4,9.133333333
5,4,W,16,11,12,0,15,5,17,3,11.8
6,3,W,10,8,11,4,10,12,11,4,10.33333333
7,2,W,18,6,20,2,10,18,19,3,16
8,1,W,20,2,12,4,0,15,4,2,4.666666667
9,5,W,6,4,14,7,15,5,13,18,14.86666667
10,4,W,14,4,10,1,12,10,14,3,10.46666667
11,3,W,9,6,10,4,10,16,8,10,10.66666667
12,2,W,6,2,7,2,10,9,6,1,7.8
13,1,W,17,9,13,4,9,5,14,2,9.133333333
14,5,W,15,12,12,9,12,6,12,5,10.2
15,4,W,9,6,10,13,10,9,13,8,11.4
16,3,W,12,0,8,0,4,2,4,0,2.666666667
17,2,W,15,2,14,4,16,4,17,1,10.4
18,1,W,11,4,12,1,8,8,11,1,9.4
19,5,W,11,10,11,8,11,17,9,2,10.13333333
20,4,W,15,8,7,2,5,8,10,17,6
21,3,W,8,6,8,14,12,4,12,4,10.66666667
22,2,W,11,6,10,3,10,1,10,0,6.8
23,1,W,16,4,15,0,16,6,19,9,14.46666667
24,5,W,11,3,9,0,10,8,9,2,8.666666667
25,4,W,18,4,14,3,12,9,14,7,11.8
26,3,W,12,13,12,0,16,11,15,3,12.86666667
27,2,W,9,5,7,0,4,2,6,1,4.2
28,1,W,8,6,9,1,3,6,12,2,7.466666667
29,5,W,7,1,4,2,2,2,1,0,2.4
31,3,W,14,2,14,1,14,5,12,15,12.13333333
32,2,W,8,4,6,7,6,0,12,2,4
33,1,W,17,15,16,3,10,15,12,7,12.2
34,5,W,20,5,15,5,12,5,15,5,7.733333333
35,4,W,8,4,2,0,5,5,7,3,4.533333333
37,2,W,12,3,11,1,12,9,11,8,10.53333333
38,1,W,8,1,6,2,2,6,3,0,4.6
39,5,W,14,10,14,0,12,10,12,6,11.46666667
40,4,W,15,3,8,5,9,5,6,2,6.666666667
41,3,W,16,15,12,0,11,6,13,3,10.06666667
42,2,W,14,8,14,0,12,13,15,4,12.53333333
43,1,W,12,7,7,2,5,4,12,1,7.333333333
44,5,W,20,7,17,8,5,1,20,2,8.266666667
45,4,W,12,6,7,0,8,7,4,4,6.666666667
46,3,W,12,4,16,0,16,6,10,5,11.66666667
47,2,W,12,6,8,0,2,10,11,2,7.933333333
48,1,W,20,18,20,10,10,8,17,17,16.6
50,4,W,18,3,11,0,20,8,11,14,13.8
